hotel_name,district_city,hotel_type,website,instagram,phone_whatsapp,email,email_status,source_links,contact_source,first_contact_channel,foreign_tourist_signal,integration_point,fit_score,status,qc_note
"Susesi Luxury Resort","Belek / Serik, Antalya","luxury resort hotel","https://www.susesihotel.com/","","","","no_email_verified","https://www.susesihotel.com/","official website","website form / phone-first","Luxury resort with international guest traffic","Guest relations QR, lobby display",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Spice Hotel & Spa","Belek / Serik, Antalya","resort hotel","https://www.spice.com.tr/","","","","no_email_verified","https://www.spice.com.tr/","official website","website form / phone-first","Belek resort with foreign leisure guests","Reception QR, pre-arrival insert",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Papillon Zeugma Relaxury","Belek / Serik, Antalya","luxury resort hotel","https://www.papillon.com.tr/en/papillon-zeugma-relaxury","","","","no_email_verified","https://www.papillon.com.tr/en/papillon-zeugma-relaxury","official brand website","website form / phone-first","International resort guests in Belek","Guest relations, reception QR",89,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Xanadu Resort Hotel Belek","Belek / Serik, Antalya","resort hotel","https://www.xanaduhotel.com.tr/","","","","no_email_verified","https://www.xanaduhotel.com.tr/","official website","website form / phone-first","Large resort; international leisure traffic","Reception QR, concierge handoff",89,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Bellis Deluxe Hotel","Belek / Serik, Antalya","resort hotel","https://www.bellis.com.tr/","","","","no_email_verified","https://www.bellis.com.tr/","official website","website form / phone-first","Belek resort with international guests","Reception and guest relations QR",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Lara Barut Collection","Lara / Muratpaşa, Antalya","luxury resort hotel","https://www.barutlara.com/en","","","","no_email_verified","https://www.barutlara.com/en","official website","website form / phone-first","Lara beachfront resort with strong foreign tourist signal","Reception QR, guest relations, pre-arrival message",94,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Concorde De Luxe Resort","Lara / Muratpaşa, Antalya","resort hotel","https://www.concordehotels.com.tr/en/concorde-de-luxe-resort","","","","no_email_verified","https://www.concordehotels.com.tr/en/concorde-de-luxe-resort","official brand website","website form / phone-first","Lara resort; international guests likely","Reception QR and guest relation desk",90,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Delphin Imperial Lara","Lara / Muratpaşa, Antalya","luxury resort hotel","https://www.delphinhotel.com/en/delphin-imperial/","","","","no_email_verified","https://www.delphinhotel.com/en/delphin-imperial/","official brand website","website form / phone-first","Large Lara resort serving foreign tourists","Reception QR, lobby display",90,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Delphin Palace Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.delphinhotel.com/en/delphin-palace/","","","","no_email_verified","https://www.delphinhotel.com/en/delphin-palace/","official brand website","website form / phone-first","Lara resort with international guest profile","Reception QR and guest relations",89,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Titanic Mardan Palace","Kundu / Aksu, Antalya","luxury resort hotel","https://www.titanic.com.tr/titanic-mardan-palace","","","","no_email_verified","https://www.titanic.com.tr/titanic-mardan-palace","official brand website","website form / phone-first","Ultra-luxury resort; foreign guest fit very strong","Concierge, VIP desk, reception QR",95,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Titanic Beach Lara","Lara / Muratpaşa, Antalya","resort hotel","https://www.titanic.com.tr/titanic-beach-lara","","","","no_email_verified","https://www.titanic.com.tr/titanic-beach-lara","official brand website","website form / phone-first","Lara resort with foreign leisure traffic","Reception QR, guest message",89,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Royal Wings Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.royalwingshotel.com/","","","","no_email_verified","https://www.royalwingshotel.com/","official website","website form / phone-first","Family/beach resort; foreign guests likely","Reception QR, family welcome material",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Kremlin Palace Hotel","Kundu / Aksu, Antalya","resort hotel","https://www.kremlinpalace.com/","","","","no_email_verified","https://www.kremlinpalace.com/","official website","website form / phone-first","Large Kundu resort; foreign tourist traffic signal","Reception QR, lobby display",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"IC Hotels Green Palace","Kundu / Aksu, Antalya","resort hotel","https://www.ichotels.com.tr/green-palace","","","","no_email_verified","https://www.ichotels.com.tr/green-palace","official brand website","website form / phone-first","Kundu resort with international guests","Reception QR and guest relations",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Liberty Hotels Lara","Lara / Muratpaşa, Antalya","resort hotel","https://www.libertyhotelslara.com/","","","","no_email_verified","https://www.libertyhotelslara.com/","official website","website form / phone-first","Lara resort; foreign family/leisure tourists","Reception QR, guest relations",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Miracle Resort Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.miracleotel.com/","","","","no_email_verified","https://www.miracleotel.com/","official website","website form / phone-first","Large Lara resort with foreign guests","Reception QR, lobby material",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Aska Lara Resort & Spa","Kundu / Aksu, Antalya","resort hotel","https://www.askalararesortspa.com/","","","","no_email_verified","https://www.askalararesortspa.com/","official website","website form / phone-first","Kundu/Lara resort; international visitor fit","Reception QR and welcome pack",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Nirvana Cosmopolitan","Lara / Muratpaşa, Antalya","luxury resort hotel","https://www.nirvanahotels.com.tr/en/nirvana-cosmopolitan","","","","no_email_verified","https://www.nirvanahotels.com.tr/en/nirvana-cosmopolitan","official brand website","website form / phone-first","Large international resort in Lara","Guest relations QR, pre-arrival insert",90,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Baia Lara Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.baialara.com/","","","","no_email_verified","https://www.baialara.com/","official website","website form / phone-first","Lara beachfront resort; foreign tourist traffic likely","Reception QR, guest relations",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Limak Lara Deluxe Hotel & Resort","Lara / Muratpaşa, Antalya","resort hotel","https://www.limakhotels.com/limak-lara-deluxe-hotel-resort","","","","no_email_verified","https://www.limakhotels.com/limak-lara-deluxe-hotel-resort","official brand website","website form / phone-first","Lara resort serving international leisure tourists","Reception QR and guest message",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Akra Antalya","Muratpaşa, Antalya","city resort hotel","https://www.akrahotels.com/en/akra-antalya/","","","","no_email_verified","https://www.akrahotels.com/en/akra-antalya/","official brand website","website form / phone-first","City resort with foreign leisure/business guests","Reception QR, concierge, lobby display",93,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Rixos Downtown Antalya","Muratpaşa, Antalya","city resort hotel","https://www.rixos.com/en/hotel-resort/rixos-downtown-antalya","","","","no_email_verified","https://www.rixos.com/en/hotel-resort/rixos-downtown-antalya","official brand website","website form / phone-first","International brand in Antalya city; foreign tourists likely","Reception QR, concierge",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Tuvana Hotel","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.tuvanahotel.com/","","","","no_email_verified","https://www.tuvanahotel.com/","official website","website form / phone-first","Kaleiçi boutique hotel; foreign tourist fit high","Reception QR, booking confirmation insert",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Puding Hotel","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.pudinghotel.com/","","","","no_email_verified","https://www.pudinghotel.com/","official website","website form / phone-first","Kaleiçi hotel; foreign tourist footfall likely","Reception QR, lobby card",86,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Route Hotel Kaleiçi","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.routehotel.com/","","","","no_email_verified","https://www.routehotel.com/","official website","website form / phone-first","Kaleiçi boutique accommodation; tourist-heavy district","Reception QR, guest WhatsApp message",85,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Alp Paşa Hotel","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.alppasa.com/","","","","no_email_verified","https://www.alppasa.com/","official website","website form / phone-first","Kaleiçi boutique hotel with foreign tourist demand","Reception QR, booking confirmation insert",86,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Casa Sur Antalya","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.casasur.com.tr/antalya/","","","","no_email_verified","https://www.casasur.com.tr/antalya/","official brand website","website form / Instagram-first","Boutique hotel in tourist district; foreign guest fit","Instagram/contact form, reception QR",84,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/Instagram-first."
"Prime Boutique Hotel","Muratpaşa, Antalya","boutique city hotel","https://www.primeboutiquehotel.com/","","","","no_email_verified","https://www.primeboutiquehotel.com/","official website","website form / phone-first","Boutique city hotel near tourist areas","Reception QR and website form",82,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Sealife Family Resort Hotel","Konyaaltı, Antalya","resort hotel","https://www.sealifehotels.com/en/sealife-family-resort-hotel","","","","no_email_verified","https://www.sealifehotels.com/en/sealife-family-resort-hotel","official brand website","website form / phone-first","Konyaaltı resort; foreign family tourists likely","Reception QR, family welcome pack",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Akra Kemer","Kemer, Antalya","resort hotel","https://www.akrahotels.com/en/akra-kemer/","","","","no_email_verified","https://www.akrahotels.com/en/akra-kemer/","official brand website","website form / phone-first","Kemer resort with international guests","Reception QR, guest relations",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Orange County Kemer","Kemer, Antalya","resort hotel","https://www.orangecounty.com.tr/kemer/","","","","no_email_verified","https://www.orangecounty.com.tr/kemer/","official brand website","website form / phone-first","Kemer resort; foreign tourist profile likely","Reception QR, lobby display",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Nirvana Dolce Vita","Tekirova / Kemer, Antalya","luxury resort hotel","https://www.nirvanahotels.com.tr/en/nirvana-dolce-vita","","","","no_email_verified","https://www.nirvanahotels.com.tr/en/nirvana-dolce-vita","official brand website","website form / phone-first","Luxury Kemer/Tekirova resort; foreign traffic likely","Guest relations QR, pre-arrival message",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Rixos Sungate","Beldibi / Kemer, Antalya","luxury resort hotel","https://www.rixos.com/en/hotel-resort/rixos-sungate","","","","no_email_verified","https://www.rixos.com/en/hotel-resort/rixos-sungate","official brand website","website form / phone-first","Large international Kemer resort","Reception QR, concierge",92,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Seven Seas Hotel Life","Göynük / Kemer, Antalya","resort hotel","https://www.sevenseashotels.com/en/seven-seas-hotel-life","","","","no_email_verified","https://www.sevenseashotels.com/en/seven-seas-hotel-life","official brand website","website form / phone-first","Family resort with foreign tourists","Reception QR, family welcome material",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Maxx Royal Kemer Resort","Kemer, Antalya","luxury resort hotel","https://www.maxxroyal.com/en/maxx-royal-kemer-resort/","","","","no_email_verified","https://www.maxxroyal.com/en/maxx-royal-kemer-resort/","official website","website form / phone-first","Ultra-luxury Kemer resort; strong foreign tourist fit","Concierge, reception QR, pre-arrival message",96,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; do not bulk email."
"Limak Limra Hotel & Resort","Kiriş / Kemer, Antalya","resort hotel","https://www.limakhotels.com/limak-limra-hotel-resort","","","","no_email_verified","https://www.limakhotels.com/limak-limra-hotel-resort","official brand website","website form / phone-first","Kemer resort with international leisure guests","Reception QR, guest relations",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Mirage Park Resort","Göynük / Kemer, Antalya","resort hotel","https://www.mirageparkresort.com/","","","","no_email_verified","https://www.mirageparkresort.com/","official website","website form / phone-first","Kemer/Göynük resort with tourist flow","Reception QR, lobby card",86,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"NG Phaselis Bay","Kemer, Antalya","luxury resort hotel","https://www.ngphaselisbay.com/","","","","no_email_verified","https://www.ngphaselisbay.com/","official website","website form / phone-first","Luxury Kemer resort; foreign tourist traffic likely","Concierge QR, VIP/reception desks",92,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Martı Myra","Tekirova / Kemer, Antalya","resort hotel","https://www.martimyra.com/","","","","no_email_verified","https://www.martimyra.com/","official website","website form / phone-first","Tekirova resort; international leisure guests","Reception QR and welcome material",86,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Barut Hemera","Side / Manavgat, Antalya","resort hotel","https://www.baruthemera.com/en","","","","no_email_verified","https://www.baruthemera.com/en","official website","website form / phone-first","Side resort with foreign tourist audience","Reception QR, guest relations",90,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Acanthus Cennet Barut Collection","Side / Manavgat, Antalya","luxury resort hotel","https://www.acanthuscennetbarutcollection.com/en","","","","no_email_verified","https://www.acanthuscennetbarutcollection.com/en","official website","website form / phone-first","Side beachfront luxury resort; foreign tourists likely","Reception QR, pre-arrival message",91,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Paloma Orenda","Side / Manavgat, Antalya","resort hotel","https://www.palomahotels.com/en/hotels/paloma-orenda","","","","no_email_verified","https://www.palomahotels.com/en/hotels/paloma-orenda","official brand website","website form / phone-first","Side resort with international guests","Reception QR, guest relations",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Paloma Oceana","Side / Manavgat, Antalya","resort hotel","https://www.palomahotels.com/en/hotels/paloma-oceana","","","","no_email_verified","https://www.palomahotels.com/en/hotels/paloma-oceana","official brand website","website form / phone-first","Side resort; foreign leisure travelers likely","Reception QR, welcome pack",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Ali Bey Resort Sorgun","Sorgun / Manavgat, Antalya","resort hotel","https://www.alibey.com/en/resort-sorgun","","","","no_email_verified","https://www.alibey.com/en/resort-sorgun","official brand website","website form / phone-first","Sorgun resort; foreign tourist signal","Reception QR, sports/guest relations desk",87,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Voyage Sorgun","Sorgun / Manavgat, Antalya","resort hotel","https://www.voyagehotel.com/en/voyage-sorgun","","","","no_email_verified","https://www.voyagehotel.com/en/voyage-sorgun","official brand website","website form / phone-first","Side/Sorgun resort; international guests likely","Reception QR, guest relations",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Arum Barut Collection","Side / Manavgat, Antalya","resort hotel","https://www.arumbarutcollection.com/en","","","","no_email_verified","https://www.arumbarutcollection.com/en","official website","website form / phone-first","Side resort; foreign tourist traffic","Reception QR and pre-arrival message",88,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Sunis Kumköy Beach Resort Hotel & Spa","Kumköy / Manavgat, Antalya","resort hotel","https://www.sunishotels.com/sunis-kumkoy-beach-resort-hotel-spa","","","","no_email_verified","https://www.sunishotels.com/sunis-kumkoy-beach-resort-hotel-spa","official brand website","website form / phone-first","Kumköy resort with foreign tourists","Reception QR, lobby material",85,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Villa Turka Hotel","Alanya, Antalya","boutique hotel","https://www.villaturka.com/","","","","no_email_verified","https://www.villaturka.com/","official website","website form / phone-first","Alanya boutique hotel; foreign tourist fit","Reception QR, booking confirmation insert",84,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Cook's Club Alanya","Alanya, Antalya","beach hotel","https://www.cooksclub.com/en/hotels/turkey/alanya/cooks-club-alanya","","","","no_email_verified","https://www.cooksclub.com/en/hotels/turkey/alanya/cooks-club-alanya","official brand website","website form / phone-first","International lifestyle hotel brand; foreign guests likely","Reception QR, app/link handoff",86,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Xperia Grand Bali Hotel","Alanya, Antalya","city/beach hotel","https://www.xperiahotels.com/grand-bali-hotel/","","","","no_email_verified","https://www.xperiahotels.com/grand-bali-hotel/","official brand website","website form / phone-first","Alanya hotel in tourist area; foreign tourist signal","Reception QR, guest WhatsApp message",82,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Sunprime C-Lounge Hotel","Alanya, Antalya","beach hotel","https://www.sunprime.com/en/hotel/sunprime-c-lounge","","","","no_email_verified","https://www.sunprime.com/en/hotel/sunprime-c-lounge","official brand website","website form / phone-first","Adult/lifestyle hotel with foreign guest fit","Reception QR, booking message",84,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Haydarpasha Palace","Türkler / Alanya, Antalya","resort hotel","https://www.haydarpashapalace.com/","","","","no_email_verified","https://www.haydarpashapalace.com/","official website","website form / phone-first","Large Alanya-area resort with foreign tourists","Reception QR, lobby display",86,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Lukka Exclusive Hotel","Kaş, Antalya","boutique hotel","https://www.lukkahotel.com/","","","","no_email_verified","https://www.lukkahotel.com/","official website","website form / phone-first","Kaş boutique hotel; foreign tourist audience likely","Reception QR, booking confirmation insert",85,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Hotel Club Barbarossa","Kaş, Antalya","boutique/beach hotel","https://www.hotelclubbarbarossa.com/","","","","no_email_verified","https://www.hotelclubbarbarossa.com/","official website","website form / phone-first","Kaş accommodation with foreign leisure guests","Reception QR and guest message",84,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Hideaway Hotel Kaş","Kaş, Antalya","boutique hotel","https://www.hideawayhotel.com/","","","","no_email_verified","https://www.hideawayhotel.com/","official website","website form / phone-first","Kaş boutique hotel; foreign travelers likely","Reception QR, booking confirmation insert",83,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
"Suna Sun Boutique Hotel","Kaş, Antalya","boutique hotel","https://www.sunasunhotel.com/","","","","no_email_verified","https://www.sunasunhotel.com/","official website","website form / phone-first","Kaş boutique hotel; foreign tourist fit","Reception QR, guest WhatsApp message",83,"B_CONTACT_FIRST","Antalya hotel verified from official source; no verified email; use form/phone-first."
