hotel_name,district_city,hotel_type,website,instagram,phone_whatsapp,email,email_status,source_links,contact_source,first_contact_channel,foreign_tourist_signal,integration_point,fit_score,status,qc_note
"Cornelia Diamond Golf Resort & Spa","Belek / Serik, Antalya","golf resort hotel","https://www.corneliaresort.com/EN/Cornelia-Diamond-Golf-Resort-Spa","","","","no_email_verified","https://www.corneliaresort.com/EN/Cornelia-Diamond-Golf-Resort-Spa","official brand website","website form / phone-first","Golf resort; international tourists likely","Golf/reception QR, guest relations",92,"RAW_TO_QC","Verify current contact source."
"Sueno Hotels Deluxe Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.sueno.com.tr/en/hotels/deluxe-belek","","","","no_email_verified","https://www.sueno.com.tr/en/hotels/deluxe-belek","official brand website","website form / phone-first","Large Belek resort; foreign guest fit","Reception QR and guest relations",91,"RAW_TO_QC","No email verified."
"Selectum Luxury Resort Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.selectumhotels.com/en/selectum-luxury-resort/","","","","no_email_verified","https://www.selectumhotels.com/en/selectum-luxury-resort/","official brand website","website form / phone-first","International resort audience","Guest relations, reception QR",91,"RAW_TO_QC","Validate hotel-specific contact."
"Ela Excellence Resort Belek","Belek / Serik, Antalya","luxury resort hotel","https://www.elahotels.com/en/ela-excellence-resort-belek/","","","","no_email_verified","https://www.elahotels.com/en/ela-excellence-resort-belek/","official brand website","website form / phone-first","Family luxury resort with foreign guests","Kids/family arrival pack, reception QR",92,"RAW_TO_QC","Official source; no guessed contact."
"Kaya Palazzo Golf Resort Belek","Belek / Serik, Antalya","luxury golf resort hotel","https://www.kayahotels.com.tr/en/kaya-palazzo-golf-resort","","","","no_email_verified","https://www.kayahotels.com.tr/en/kaya-palazzo-golf-resort","official brand website","website form / phone-first","Golf and luxury resort audience","Golf desk, concierge QR",92,"RAW_TO_QC","Verify local contact."
"Voyage Belek Golf & Spa","Belek / Serik, Antalya","golf resort hotel","https://www.voyagehotel.com/en/voyage-belek-golf-spa","","","","no_email_verified","https://www.voyagehotel.com/en/voyage-belek-golf-spa","official brand website","website form / phone-first","International Belek resort; high traveler fit","Reception QR, guest message",91,"RAW_TO_QC","No email verified."
"Limak Arcadia Sport Resort Belek","Belek / Serik, Antalya","resort hotel","https://www.limakhotels.com/limak-arcadia-sport-resort-hotel","","","","no_email_verified","https://www.limakhotels.com/limak-arcadia-sport-resort-hotel","official brand website","website form / phone-first","Resort hotel with foreign tourist traffic","Reception QR, sports group arrival message",89,"RAW_TO_QC","Official brand page."
"IC Hotels Santai Family Resort","Belek / Serik, Antalya","family resort hotel","https://www.ichotels.com.tr/santai-family-resort","","","","no_email_verified","https://www.ichotels.com.tr/santai-family-resort","official brand website","website form / phone-first","Family resort; foreign tourists likely","Reception QR, family check-in material",89,"RAW_TO_QC","Verify contact channel."
"Susesi Luxury Resort","Belek / Serik, Antalya","luxury resort hotel","https://www.susesihotel.com/","","","","no_email_verified","https://www.susesihotel.com/","official website","website form / phone-first","Luxury resort with international guest traffic","Guest relations QR, lobby display",91,"RAW_TO_QC","No direct email verified."
"Spice Hotel & Spa","Belek / Serik, Antalya","resort hotel","https://www.spice.com.tr/","","","","no_email_verified","https://www.spice.com.tr/","official website","website form / phone-first","Belek resort with foreign leisure guests","Reception QR, pre-arrival insert",88,"RAW_TO_QC","Official website only."
"Papillon Zeugma Relaxury","Belek / Serik, Antalya","luxury resort hotel","https://www.papillon.com.tr/en/papillon-zeugma-relaxury","","","","no_email_verified","https://www.papillon.com.tr/en/papillon-zeugma-relaxury","official brand website","website form / phone-first","International resort guests in Belek","Guest relations, reception QR",89,"RAW_TO_QC","Verify current contact page."
"Xanadu Resort Hotel Belek","Belek / Serik, Antalya","resort hotel","https://www.xanaduhotel.com.tr/","","","","no_email_verified","https://www.xanaduhotel.com.tr/","official website","website form / phone-first","Large resort; international leisure traffic","Reception QR, concierge handoff",89,"RAW_TO_QC","No email verified."
"Bellis Deluxe Hotel","Belek / Serik, Antalya","resort hotel","https://www.bellis.com.tr/","","","","no_email_verified","https://www.bellis.com.tr/","official website","website form / phone-first","Belek resort with international guests","Reception and guest relations QR",88,"RAW_TO_QC","Official source only."
"Lara Barut Collection","Lara / Muratpaşa, Antalya","luxury resort hotel","https://www.barutlara.com/en","","","","no_email_verified","https://www.barutlara.com/en","official website","website form / phone-first","Lara beachfront resort with strong foreign tourist signal","Reception QR, guest relations, pre-arrival message",94,"RAW_TO_QC","Verify official contact page."
"Concorde De Luxe Resort","Lara / Muratpaşa, Antalya","resort hotel","https://www.concordehotels.com.tr/en/concorde-de-luxe-resort","","","","no_email_verified","https://www.concordehotels.com.tr/en/concorde-de-luxe-resort","official brand website","website form / phone-first","Lara resort; international guests likely","Reception QR and guest relation desk",90,"RAW_TO_QC","No email copied."
"Delphin Imperial Lara","Lara / Muratpaşa, Antalya","luxury resort hotel","https://www.delphinhotel.com/en/delphin-imperial/","","","","no_email_verified","https://www.delphinhotel.com/en/delphin-imperial/","official brand website","website form / phone-first","Large Lara resort serving foreign tourists","Reception QR, lobby display",90,"RAW_TO_QC","Verify contact channel."
"Delphin Palace Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.delphinhotel.com/en/delphin-palace/","","","","no_email_verified","https://www.delphinhotel.com/en/delphin-palace/","official brand website","website form / phone-first","Lara resort with international guest profile","Reception QR and guest relations",89,"RAW_TO_QC","Official source only."
"Titanic Mardan Palace","Kundu / Aksu, Antalya","luxury resort hotel","https://www.titanic.com.tr/titanic-mardan-palace","","","","no_email_verified","https://www.titanic.com.tr/titanic-mardan-palace","official brand website","website form / phone-first","Ultra-luxury resort; foreign guest fit very strong","Concierge, VIP desk, reception QR",95,"RAW_TO_QC","Verify local contact before outreach."
"Titanic Beach Lara","Lara / Muratpaşa, Antalya","resort hotel","https://www.titanic.com.tr/titanic-beach-lara","","","","no_email_verified","https://www.titanic.com.tr/titanic-beach-lara","official brand website","website form / phone-first","Lara resort with foreign leisure traffic","Reception QR, guest message",89,"RAW_TO_QC","No guessed email."
"Royal Wings Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.royalwingshotel.com/","","","","no_email_verified","https://www.royalwingshotel.com/","official website","website form / phone-first","Family/beach resort; foreign guests likely","Reception QR, family welcome material",88,"RAW_TO_QC","Official website source."
"Kremlin Palace Hotel","Kundu / Aksu, Antalya","resort hotel","https://www.kremlinpalace.com/","","","","no_email_verified","https://www.kremlinpalace.com/","official website","website form / phone-first","Large Kundu resort; foreign tourist traffic signal","Reception QR, lobby display",88,"RAW_TO_QC","Verify current contact route."
"IC Hotels Green Palace","Kundu / Aksu, Antalya","resort hotel","https://www.ichotels.com.tr/green-palace","","","","no_email_verified","https://www.ichotels.com.tr/green-palace","official brand website","website form / phone-first","Kundu resort with international guests","Reception QR and guest relations",88,"RAW_TO_QC","Official brand page."
"Liberty Hotels Lara","Lara / Muratpaşa, Antalya","resort hotel","https://www.libertyhotelslara.com/","","","","no_email_verified","https://www.libertyhotelslara.com/","official website","website form / phone-first","Lara resort; foreign family/leisure tourists","Reception QR, guest relations",87,"RAW_TO_QC","No email verified."
"Miracle Resort Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.miracleotel.com/","","","","no_email_verified","https://www.miracleotel.com/","official website","website form / phone-first","Large Lara resort with foreign guests","Reception QR, lobby material",87,"RAW_TO_QC","Verify contact page."
"Aska Lara Resort & Spa","Kundu / Aksu, Antalya","resort hotel","https://www.askalararesortspa.com/","","","","no_email_verified","https://www.askalararesortspa.com/","official website","website form / phone-first","Kundu/Lara resort; international visitor fit","Reception QR and welcome pack",87,"RAW_TO_QC","Official website only."
"Nirvana Cosmopolitan","Lara / Muratpaşa, Antalya","luxury resort hotel","https://www.nirvanahotels.com.tr/en/nirvana-cosmopolitan","","","","no_email_verified","https://www.nirvanahotels.com.tr/en/nirvana-cosmopolitan","official brand website","website form / phone-first","Large international resort in Lara","Guest relations QR, pre-arrival insert",90,"RAW_TO_QC","Verify local contact route."
"Baia Lara Hotel","Lara / Muratpaşa, Antalya","resort hotel","https://www.baialara.com/","","","","no_email_verified","https://www.baialara.com/","official website","website form / phone-first","Lara beachfront resort; foreign tourist traffic likely","Reception QR, guest relations",87,"RAW_TO_QC","No direct email verified."
"Limak Lara Deluxe Hotel & Resort","Lara / Muratpaşa, Antalya","resort hotel","https://www.limakhotels.com/limak-lara-deluxe-hotel-resort","","","","no_email_verified","https://www.limakhotels.com/limak-lara-deluxe-hotel-resort","official brand website","website form / phone-first","Lara resort serving international leisure tourists","Reception QR and guest message",88,"RAW_TO_QC","Official page source."
"Akra Antalya","Muratpaşa, Antalya","city resort hotel","https://www.akrahotels.com/en/akra-antalya/","","","","no_email_verified","https://www.akrahotels.com/en/akra-antalya/","official brand website","website form / phone-first","City resort with foreign leisure/business guests","Reception QR, concierge, lobby display",93,"RAW_TO_QC","Strong Antalya city lead."
"Rixos Downtown Antalya","Muratpaşa, Antalya","city resort hotel","https://www.rixos.com/en/hotel-resort/rixos-downtown-antalya","","","","no_email_verified","https://www.rixos.com/en/hotel-resort/rixos-downtown-antalya","official brand website","website form / phone-first","International brand in Antalya city; foreign tourists likely","Reception QR, concierge",91,"RAW_TO_QC","Verify local contact."
"Tuvana Hotel","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.tuvanahotel.com/","","","","no_email_verified","https://www.tuvanahotel.com/","official website","website form / phone-first","Kaleiçi boutique hotel; foreign tourist fit high","Reception QR, booking confirmation insert",88,"RAW_TO_QC","Boutique hotel; verify contact."
"Puding Hotel","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.pudinghotel.com/","","","","no_email_verified","https://www.pudinghotel.com/","official website","website form / phone-first","Kaleiçi hotel; foreign tourist footfall likely","Reception QR, lobby card",86,"RAW_TO_QC","No email verified."
"Route Hotel Kaleiçi","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.routehotel.com/","","","","no_email_verified","https://www.routehotel.com/","official website","website form / phone-first","Kaleiçi boutique accommodation; tourist-heavy district","Reception QR, guest WhatsApp message",85,"RAW_TO_QC","Verify official contact route."
"Alp Paşa Hotel","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.alppasa.com/","","","","no_email_verified","https://www.alppasa.com/","official website","website form / phone-first","Kaleiçi boutique hotel with foreign tourist demand","Reception QR, booking confirmation insert",86,"RAW_TO_QC","Official source only."
"Casa Sur Antalya","Kaleiçi / Muratpaşa, Antalya","boutique hotel","https://www.casasur.com.tr/antalya/","","","","no_email_verified","https://www.casasur.com.tr/antalya/","official brand website","website form / Instagram-first","Boutique hotel in tourist district; foreign guest fit","Instagram/contact form, reception QR",84,"RAW_TO_QC","Prefer form/Instagram unless official email verified."
"Prime Boutique Hotel","Muratpaşa, Antalya","boutique city hotel","https://www.primeboutiquehotel.com/","","","","no_email_verified","https://www.primeboutiquehotel.com/","official website","website form / phone-first","Boutique city hotel near tourist areas","Reception QR and website form",82,"RAW_TO_QC","Verify current operation/contact."
"Sealife Family Resort Hotel","Konyaaltı, Antalya","resort hotel","https://www.sealifehotels.com/en/sealife-family-resort-hotel","","","","no_email_verified","https://www.sealifehotels.com/en/sealife-family-resort-hotel","official brand website","website form / phone-first","Konyaaltı resort; foreign family tourists likely","Reception QR, family welcome pack",87,"RAW_TO_QC","No email verified."
"Akra Kemer","Kemer, Antalya","resort hotel","https://www.akrahotels.com/en/akra-kemer/","","","","no_email_verified","https://www.akrahotels.com/en/akra-kemer/","official brand website","website form / phone-first","Kemer resort with international guests","Reception QR, guest relations",91,"RAW_TO_QC","Verify contact channel."
"Orange County Kemer","Kemer, Antalya","resort hotel","https://www.orangecounty.com.tr/kemer/","","","","no_email_verified","https://www.orangecounty.com.tr/kemer/","official brand website","website form / phone-first","Kemer resort; foreign tourist profile likely","Reception QR, lobby display",88,"RAW_TO_QC","Official source only."
"Nirvana Dolce Vita","Tekirova / Kemer, Antalya","luxury resort hotel","https://www.nirvanahotels.com.tr/en/nirvana-dolce-vita","","","","no_email_verified","https://www.nirvanahotels.com.tr/en/nirvana-dolce-vita","official brand website","website form / phone-first","Luxury Kemer/Tekirova resort; foreign traffic likely","Guest relations QR, pre-arrival message",91,"RAW_TO_QC","Verify local contact."
"Rixos Sungate","Beldibi / Kemer, Antalya","luxury resort hotel","https://www.rixos.com/en/hotel-resort/rixos-sungate","","","","no_email_verified","https://www.rixos.com/en/hotel-resort/rixos-sungate","official brand website","website form / phone-first","Large international Kemer resort","Reception QR, concierge",92,"RAW_TO_QC","Brand official source."
"Seven Seas Hotel Life","Göynük / Kemer, Antalya","resort hotel","https://www.sevenseashotels.com/en/seven-seas-hotel-life","","","","no_email_verified","https://www.sevenseashotels.com/en/seven-seas-hotel-life","official brand website","website form / phone-first","Family resort with foreign tourists","Reception QR, family welcome material",87,"RAW_TO_QC","Verify contact."
"Maxx Royal Kemer Resort","Kemer, Antalya","luxury resort hotel","https://www.maxxroyal.com/en/maxx-royal-kemer-resort/","","","","no_email_verified","https://www.maxxroyal.com/en/maxx-royal-kemer-resort/","official website","website form / phone-first","Ultra-luxury Kemer resort; strong foreign tourist fit","Concierge, reception QR, pre-arrival message",96,"RAW_TO_QC","Strong lead; email not verified."
"Limak Limra Hotel & Resort","Kiriş / Kemer, Antalya","resort hotel","https://www.limakhotels.com/limak-limra-hotel-resort","","","","no_email_verified","https://www.limakhotels.com/limak-limra-hotel-resort","official brand website","website form / phone-first","Kemer resort with international leisure guests","Reception QR, guest relations",87,"RAW_TO_QC","Official page only."
"Mirage Park Resort","Göynük / Kemer, Antalya","resort hotel","https://www.mirageparkresort.com/","","","","no_email_verified","https://www.mirageparkresort.com/","official website","website form / phone-first","Kemer/Göynük resort with tourist flow","Reception QR, lobby card",86,"RAW_TO_QC","Verify direct contact."
"NG Phaselis Bay","Kemer, Antalya","luxury resort hotel","https://www.ngphaselisbay.com/","","","","no_email_verified","https://www.ngphaselisbay.com/","official website","website form / phone-first","Luxury Kemer resort; foreign tourist traffic likely","Concierge QR, VIP/reception desks",92,"RAW_TO_QC","No email verified."
"Martı Myra","Tekirova / Kemer, Antalya","resort hotel","https://www.martimyra.com/","","","","no_email_verified","https://www.martimyra.com/","official website","website form / phone-first","Tekirova resort; international leisure guests","Reception QR and welcome material",86,"RAW_TO_QC","Official source only."
"Barut Hemera","Side / Manavgat, Antalya","resort hotel","https://www.baruthemera.com/en","","","","no_email_verified","https://www.baruthemera.com/en","official website","website form / phone-first","Side resort with foreign tourist audience","Reception QR, guest relations",90,"RAW_TO_QC","Verify current contact details."
"Acanthus Cennet Barut Collection","Side / Manavgat, Antalya","luxury resort hotel","https://www.acanthuscennetbarutcollection.com/en","","","","no_email_verified","https://www.acanthuscennetbarutcollection.com/en","official website","website form / phone-first","Side beachfront luxury resort; foreign tourists likely","Reception QR, pre-arrival message",91,"RAW_TO_QC","Official source only."
"Paloma Orenda","Side / Manavgat, Antalya","resort hotel","https://www.palomahotels.com/en/hotels/paloma-orenda","","","","no_email_verified","https://www.palomahotels.com/en/hotels/paloma-orenda","official brand website","website form / phone-first","Side resort with international guests","Reception QR, guest relations",88,"RAW_TO_QC","No email verified."
"Paloma Oceana","Side / Manavgat, Antalya","resort hotel","https://www.palomahotels.com/en/hotels/paloma-oceana","","","","no_email_verified","https://www.palomahotels.com/en/hotels/paloma-oceana","official brand website","website form / phone-first","Side resort; foreign leisure travelers likely","Reception QR, welcome pack",87,"RAW_TO_QC","Verify contact."
"Ali Bey Resort Sorgun","Sorgun / Manavgat, Antalya","resort hotel","https://www.alibey.com/en/resort-sorgun","","","","no_email_verified","https://www.alibey.com/en/resort-sorgun","official brand website","website form / phone-first","Sorgun resort; foreign tourist signal","Reception QR, sports/guest relations desk",87,"RAW_TO_QC","Official source only."
"Voyage Sorgun","Sorgun / Manavgat, Antalya","resort hotel","https://www.voyagehotel.com/en/voyage-sorgun","","","","no_email_verified","https://www.voyagehotel.com/en/voyage-sorgun","official brand website","website form / phone-first","Side/Sorgun resort; international guests likely","Reception QR, guest relations",88,"RAW_TO_QC","No email verified."
"Arum Barut Collection","Side / Manavgat, Antalya","resort hotel","https://www.arumbarutcollection.com/en","","","","no_email_verified","https://www.arumbarutcollection.com/en","official website","website form / phone-first","Side resort; foreign tourist traffic","Reception QR and pre-arrival message",88,"RAW_TO_QC","Verify contact."
"Sunis Kumköy Beach Resort Hotel & Spa","Kumköy / Manavgat, Antalya","resort hotel","https://www.sunishotels.com/sunis-kumkoy-beach-resort-hotel-spa","","","","no_email_verified","https://www.sunishotels.com/sunis-kumkoy-beach-resort-hotel-spa","official brand website","website form / phone-first","Kumköy resort with foreign tourists","Reception QR, lobby material",85,"RAW_TO_QC","Official source only."
"Villa Turka Hotel","Alanya, Antalya","boutique hotel","https://www.villaturka.com/","","","","no_email_verified","https://www.villaturka.com/","official website","website form / phone-first","Alanya boutique hotel; foreign tourist fit","Reception QR, booking confirmation insert",84,"RAW_TO_QC","Verify current contact route."
"Cook's Club Alanya","Alanya, Antalya","beach hotel","https://www.cooksclub.com/en/hotels/turkey/alanya/cooks-club-alanya","","","","no_email_verified","https://www.cooksclub.com/en/hotels/turkey/alanya/cooks-club-alanya","official brand website","website form / phone-first","International lifestyle hotel brand; foreign guests likely","Reception QR, app/link handoff",86,"RAW_TO_QC","Brand source; verify local contact."
"Xperia Grand Bali Hotel","Alanya, Antalya","city/beach hotel","https://www.xperiahotels.com/grand-bali-hotel/","","","","no_email_verified","https://www.xperiahotels.com/grand-bali-hotel/","official brand website","website form / phone-first","Alanya hotel in tourist area; foreign tourist signal","Reception QR, guest WhatsApp message",82,"RAW_TO_QC","Verify operation/contact."
"Sunprime C-Lounge Hotel","Alanya, Antalya","beach hotel","https://www.sunprime.com/en/hotel/sunprime-c-lounge","","","","no_email_verified","https://www.sunprime.com/en/hotel/sunprime-c-lounge","official brand website","website form / phone-first","Adult/lifestyle hotel with foreign guest fit","Reception QR, booking message",84,"RAW_TO_QC","Verify local contact."
"Haydarpasha Palace","Türkler / Alanya, Antalya","resort hotel","https://www.haydarpashapalace.com/","","","","no_email_verified","https://www.haydarpashapalace.com/","official website","website form / phone-first","Large Alanya-area resort with foreign tourists","Reception QR, lobby display",86,"RAW_TO_QC","Official site only."
"Lukka Exclusive Hotel","Kaş, Antalya","boutique hotel","https://www.lukkahotel.com/","","","","no_email_verified","https://www.lukkahotel.com/","official website","website form / phone-first","Kaş boutique hotel; foreign tourist audience likely","Reception QR, booking confirmation insert",85,"RAW_TO_QC","Verify direct contact."
"Hotel Club Barbarossa","Kaş, Antalya","boutique/beach hotel","https://www.hotelclubbarbarossa.com/","","","","no_email_verified","https://www.hotelclubbarbarossa.com/","official website","website form / phone-first","Kaş accommodation with foreign leisure guests","Reception QR and guest message",84,"RAW_TO_QC","Official website source."
"Hideaway Hotel Kaş","Kaş, Antalya","boutique hotel","https://www.hideawayhotel.com/","","","","no_email_verified","https://www.hideawayhotel.com/","official website","website form / phone-first","Kaş boutique hotel; foreign travelers likely","Reception QR, booking confirmation insert",83,"RAW_TO_QC","Verify current contact route."
"Suna Sun Boutique Hotel","Kaş, Antalya","boutique hotel","https://www.sunasunhotel.com/","","","","no_email_verified","https://www.sunasunhotel.com/","official website","website form / phone-first","Kaş boutique hotel; foreign tourist fit","Reception QR, guest WhatsApp message",83,"RAW_TO_QC","No email verified."
